"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"713512108013576192","https://twitter.com/IBMcloudant/status/713512108013576192","How to build your first app using Cloudant: https://t.co/KL5J95avVr #developer #nodejs https://t.co/cmZlRrKyOP","2016-03-25 23:45 +0000","1576.0","17.0","0.010786802030456852","5.0","0.0","7.0","0.0","4.0","0.0","0.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"713486935273168896","https://twitter.com/IBMcloudant/status/713486935273168896","Stop worrying about managing #databases and get back to developing: https://t.co/4hhrkG8Rc1 #openfordata https://t.co/zGbDxRfinQ","2016-03-25 22:05 +0000","1187.0","12.0","0.010109519797809604","5.0","0.0","1.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"713436631311757312","https://twitter.com/IBMcloudant/status/713436631311757312","Hungry for a sample of an offline-first app? Meet the Cloudant FoodTracker:  https://t.co/rNeh5HPTpj #NoSQL https://t.co/AZOpWoeX3D","2016-03-25 18:45 +0000","1999.0","14.0","0.007003501750875438","4.0","0.0","2.0","0.0","6.0","0.0","1.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"713413978777628672","https://twitter.com/IBMcloudant/status/713413978777628672","Learn how to use Cloudant to track In-page user behavior: https://t.co/yhHmKOsq8u #developer https://t.co/5wZ3sV1KuN","2016-03-25 17:15 +0000","1096.0","8.0","0.0072992700729927005","4.0","0.0","3.0","0.0","1.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"713396326071930880","https://twitter.com/IBMcloudant/status/713396326071930880","[Webinar] What is Cloudant Data Layer and how can it help you build better apps? Details: https://t.co/hS8hNZ2cju https://t.co/b7ziz7AFBV","2016-03-25 16:05 +0000","1109.0","10.0","0.009017132551848512","5.0","0.0","1.0","0.0","2.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"713392376291672064","https://twitter.com/IBMcloudant/status/713392376291672064","@MarkZorn thanks for the note. Very sorry about the issues you’re experiencing. Please DM and I will be happy to help resolve. Thanks, ^JB","2016-03-25 15:49 +0000","48.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"713376179693174785","https://twitter.com/IBMcloudant/status/713376179693174785","[Blog] Access on-premises #databases from the cloud using Cloudant, DataWorks and #dashDB: https://t.co/1Krfn7jzVv https://t.co/y8BepeAHYl","2016-03-25 14:45 +0000","1465.0","17.0","0.011604095563139932","6.0","0.0","3.0","0.0","2.0","0.0","2.0","0.0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"713361072418328576","https://twitter.com/IBMcloudant/status/713361072418328576","Shaping future leaders: Using Bluemix to teach @girlscouts the art of #webdesign: https://t.co/77OsLhO0P5 https://t.co/JLzQhnbckK","2016-03-25 13:45 +0000","1040.0","9.0","0.008653846153846154","3.0","0.0","2.0","1.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"713354441903239168","https://twitter.com/IBMcloudant/status/713354441903239168","What's new with Cloudant Warehousing? Get the details: https://t.co/KeUNNffqBC #dashDB https://t.co/oGSv2AIKCs","2016-03-25 13:18 +0000","632.0","2.0","0.0031645569620253164","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"713092977367842818","https://twitter.com/IBMcloudant/status/713092977367842818","Join us and learn how Graph databases can help you build cutting-edge #apps: https://t.co/E1yKXHjp7T https://t.co/wUg9heFAMj","2016-03-24 19:59 +0000","2798.0","27.0","0.00964974982130093","14.0","0.0","5.0","1.0","5.0","0.0","1.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
